" İÇERİK"," SINIF"
" Bir süredir geri döndü.","0"
" 2014'te 2 Milyar","0"
" lütfen fablife'a göz atın / kendin yap projeleri ve zorluklar için fablife'a hoş geldiniz, lütfen abone olun, teşekkürler!﻿","1"
" Kanalıma abone olun!﻿","1"
" http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿","1"
" http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿","1"
" Eğer drone'ları seviyorsanız, lütfen Kamal Tayara'ya abone olun. Drone'uyla kesinlikle güzel videolar çekiyor.","1"
" http://hackfbaccountlive.com/?ref=4604617﻿","1"
"HERKESE NE OLUR!? :-) Yeteneğimi Dünyaya Göstermeye Çalışıyorum! 3000'den Fazla ABONEM VAR! SÖZ VERİYORUM! Berbat Değilim! Lütfen Kapaklarımı Yayın, ABONE OLUN ve Paylaşın! Desteğiniz için çok teşekkür ederim! Lucas Trigo - Harika Kalın! ﻿","1"
" ----- ; ; ; ; https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  ;--------﻿","1"
"Merhaba~Ben çaylak bir Kore pop grubu olan Angel'ın grup lideriyim. Chanicka, Julie, Stephanie ve ben Leah olmak üzere dört üyemiz var. Lütfen kanalımıza göz atmaktan ve cover videolarımız hakkında geri bildirim bırakmaktan çekinmeyin (: eleştirileriniz hoş karşılanır çünkü en iyi şarkıcılar olmadığımızı biliyoruz, bu yüzden lütfen videolarımız hakkında yapıcı geri bildirimler bırakın; Kore menajerlik şirketi için seçmelere katılmadan önce gelişmek için her türlü fırsatı değerlendiriyoruz. JYP, BigHit, Jellyfish, YG veya SM için seçmelere katılmayı planlıyoruz. Bunu okumak için gününüzden zaman ayırdığınız için teşekkür ederiz!﻿","1"
" http://woobox.com/33gxrf/brt0u5 ÜCRETSİZ CS GO!!!!﻿","1"
" İzleyici sayısını kontrol etmek için buraya geldiğinizi kabul edin","0"
"Sadece insanların bu videoyu hala izleyip izlemediğini kontrol etmeye geldim. Ve görünüşe göre hala izliyorlar.","0"
" İlk videomu izleyin","1"
" Kanalımı kontrol edin","1"
" PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0","0"
" Lütfen Kanalıma Abone Olun XD lol﻿","1"
" Vay canına. Bu konudaki yorumlar bölümü hala aktif. Fena değil. Ayrıca 5277478 yorum. (Şimdi 79)﻿","0"
" http://binbox.io/1FIRo#123﻿","1"
" Ching Ching ling long ding ring yaaaaaa Ganga sty SİKTİR GİT.","0"
" https://www.indiegogo.com/projects/cleaning-the-pan--2 lütfen projemde bana yardım edin","1"
" Kanalımda kardeşimle ilgili bir video var...﻿","1"
" Kanalıma göz atın lütfen!﻿","1"
" Burada Amazon, itunes, psn, google play, itunes veya başka herhangi bir hediye kartı gibi hediye kartları kullanan var mı? O zaman harika bir siteden ücretsiz hediye kartı kodları alabileceğinizi bilmek sizi mutlu edecektir. İşte 50$'lık bir itunes hediye kartı kodu XXBB5TCZHM39HVZD﻿","1"
"Bu videonun bu kadar çok izlenmesinin sebebi nedir? Çünkü Asya ülkeleri harika ve Asya dışındaki ülkeler jöle gibi, bu yüzden bu videoyu izleyerek Asya'dan ders çıkarmaya çalışıyorlar d:﻿","0"
" Kanalımda lütfen plizz","1"
" Bir oyun kanalı yaptım (Benzersiz değil mi?) :L Öfkeli Minecraft!﻿","1"
" Lütfen buraya gitmeme yardım edin http://www.gofundme.com/littlebrother﻿","1"
" Bana abone olan herkese 10 abone verilecek","1"
" http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿","1"
"Videolarım fena değil, isterseniz izleyin.","1"
" Bu videonun 2 milyar izlenmeyi hak etmediğini söylerken, izleyiciyi izlemek için bu videoyu ziyaret etmeye devam ediyorlar.","0"
" itz özetlerine ve yukarıdaki diddle'a abone olun","1"
" Bu Çin saçmalığına lanet olsun, ne dediğini bile anlamıyorum. Neden herkesin konuşması gerektiği gibi İngilizce konuşmuyor?","0"
" paraya mı ihtiyacınız var? https://www.tsu.co/emerson_zanol﻿ adresinin tadını çıkarın","1"
" Kanalıma abone olun visuelgamingzNL Ben de abone oldum","1"
"Lütfen abone olun, ben yeni bir youtuber'ım ve yardıma ihtiyacım var, lütfen abone olun, ben de geri abone olacağım :D hoppa HOPPA GaNgAm StYlE﻿","1"
" şarkıyı beğenmezseniz bana abone olun","1"
" Bu garip bir video.","0"
" 8 milyon beğeni xD aboneler bile 8 milyon değil xD","0"
" EHI ARKADAŞLAR KANALIMA ABONE OLABİLİR MİSİNİZ? BEN YENİ BİR YOUTUBER'IM VE MINECRAFT OYNUYORUM TEŞEKKÜRLER ARKADAŞLAR!... ABONE OLUN!﻿","1"
"Herkese merhaba! Müzik sever misiniz? O zaman neden müzik kanalıma göz atmıyorsunuz? LEXIS grubu yakında kendi şarkılarını ve cover'larını yükleyecek, bu yüzden kaçırmayın. Lütfen ABONE OLUN, çünkü bu bize çok yardımcı oluyor. Sadece bir tıklama yeterli. - ;﻿","1"
" Bu şarkı asla eskimiyor, bayılıyorum.","0"
" gofundme.com/grwmps﻿","1"
" Merhaba arkadaşlar lütfen yeni Google+ sayfamı inceleyin. Çok sayıda komik resim var. FunnyTortsPics https://plus.google.com/112720997191206369631/post﻿","1"
" #2012kaltaklar","0"
" Çin malı....﻿","0"
" 5 milyon yorum ve 2 milyar görüntüleme","0"
" 0 sıfırdır","0"
" Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V","0"
" Bu video 2 milyardan fazla izlendi. Aman Tanrım.","0"
" zombi kıyametinden sonra hayatta kalan tek kişi benken nasıl 2.124.821.694 görüntüleme olabilir - selamlar, spoderman :)﻿","0"
" Lütfen kanalıma abone olun","1"
" 2.124923004 görüntüleme... vay canına","0"
" arkadaşlar lütfen kanalımın büyümesine yardımcı olmak için bana abone olun lütfen arkadaşlar","1"
" Her neyse, harika müzik","0"
" PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0","0"
" çok çılgın, 2 milyardan fazla izlenme, ABD değil, İngiltere değil, Kore Cumhuriyeti, Asya","0"
" Genç bir Faslının güzel şarkısını keşfedin http://www.linkbucks.com/AcN2g﻿","1"
"Hediye kartları almayı seviyorsunuz ama para harcamaktan nefret ediyorsunuz... Juno Wallet'ı deneyin!!! Juno Wallet'ta; Nike, Gamestop, Amazon, Ebay vb. gibi hediye kartları için para kazanabilirsiniz ve kolaydır. Video izlemek, uygulama indirmek gibi basit görevler yaparak para kazanın ve hatta arkadaşlarınızı katılmaya davet ederek bile para kazanabilirsiniz... Kayıt olmak ücretsizdir Bugün kaydolun ve BD3721315 promosyon kodunu kullanın.","1"
" 3 milyar izlenmeye ulaştığımızda biri beni uyandırabilir mi?","0"
" PSY YOUTUBE'DAN ÇOK PARA KAZANDI, 2 MİLYAR İZLENME ELDE ETTİ, BU DÜNYADAKİ EN ÇOK İZLENME :D","0"
" Justin bieber = eşcinsel","0"
"Komik olduğunu söylemelisin. 2 milyar değerinde komik değil ama yine de. Tıkladı ve her şey yokuş yukarı gitti. En azından JB'nin boklarını #1'de görmüyorsun.","0"
" ❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️","0"
" Ahhh, 2 yıl önce...﻿","0"
" Dans dans,,,,,Psy http://www.reverbnation.com/msmarilynmiles﻿","1"
" destansı videoları görmek için ""starlitnightsky"" kanalına göz atın","1"
" https://www.tsu.co/KodysMan lütfen ^^﻿","1"
"Aptal insanlar... bu videonun 2 milyar ziyareti yok. 2 bin milyonu var","0"
" http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿","1"
" beyler bakın müziğime çok emek veriyorum ama ne yazık ki pek çok kişi izlemiyor","1"
" lütfen http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 vip silah çapraz ateş almama yardım edin","1"
" Beni buraya ekleyin...https://www.facebook.com/TLouXmusic﻿","1"
" LÜTFEN KANALIMA GÖZ ATIN. ŞARKI COVERLARI YAPIYORUM","1"
"Sanırım burası artık yorum bölümünde kanalların tanıtılacağı bir yer lol.","0"
" Ücretsiz hediye kartları ve paypal parası kazanın!﻿","1"
" Kanalımda pivot animasyonlarına göz atın","1"
" Beni twitter ve IG'de takip edin: __killuminati94﻿","1"
" Beni kontrol edin, ben oyunla ilgiliyim","1"
" Oppa! Evet! En İyi Şarkı!﻿","0"
" Daha fazlası... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿","1"
" https://www.facebook.com/teeLaLaLa","1"
" http://www.twitch.tv/zxlightsoutxz​","1"
" bana bu şarkıyı hatırlatıyor https://soundcloud.com/popaegis/wrenn-almond-eyes﻿","1"
" Hangi ücretsiz hediye kartları? Buraya gidin http://www.swagbucks.com/p/register?rb=13017194﻿","1"
" ""Chubbz Dinero - Ready Or Not"" araması yapın Teşekkürler","1"
" Beni Twitter'da @mscalifornia95 adresinden takip edin","1"
"😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺ dünyadaki her tip yüz﻿","0"
" ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿","0"
" YENİ ŞARKIM 'STATIC' İÇİN KANALIMI ZİYARET EDİN!! BAYILACAKSINIZ!!﻿","1"
" Incmedia.org gerçeğin sizinle buluştuğu yer.","1"
"kanalıma bak minecraft pe yapıyorum hadi oynayalım","1"
" Bu şarkıyı şimdi buldum","0"
" 2 MİLYAR!!!﻿","0"
" Şarkı adı??﻿","0"
" lütfen beğenin: http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿","1"
" tekrar merhaba, eğer rap'imi beğenmeyi düşünürseniz beğenin ve ben de 3 videonuzu beğeneyim","1"
" http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿","1"
" YouTube'da en çok izlenen video, 2,1 milyar izlenmeyle Psy'nin ""Gangnam Style"" adlı şarkısıdır. PSY - GANGNAM STYLE (강남스타일) M/V﻿","0"
" Bana abone olun, ben de size abone olayım!!!﻿","1"
" http://flipagram.com/f/LUkA1QMrhF﻿","1"
" Noel Şarkısı için kanalımı ziyaret edin! ;)﻿","1"
" http://www.gofundme.com/gvr7xg﻿","1"
" Bana abone ol ben de sana abone olurum!!!! Ayrıca güzel bir kıçım var lol﻿","1"
"https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc","1"
" https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿","1"
" https://www.surveymonkey.com/s/CVHMKLT","1"
" Lütfen bize bir şans verin ve kanalımızdaki yeni müzik videosunu izleyin! Hayal kırıklığına uğramayacaksınız.","1"
" Lütfen bana abone olun","1"
" Bu tarihin en iyi, komik ve viral videosudur (youtube) GERÇEK","0"
" Lütfen videolarıma göz atın","1"
" OPPA GANGNAM STİLİ!!!﻿","0"
" Komik olan şey, görüntülemelerin 1.700.000.000'inin spam botları olması. Yani hadi ama 2 MİLYAR görüntüleme mi? BS!﻿","0"
" OPPA  ;3﻿","0"
" Çok komik, harika lol aaaaaaa seksi lada😂﻿","0"
" dünyanın en çok izlenen videosu","0"
" Görüşleri kontrol etmeye geldim.. Vay canına","0"
" Bunu okuyan sevgili kişi, Güzel ve sevgi dolusun. İyi günler dilerim.","0"
" http://www.ermail.pl/dolacz/V3VeYGIN TIKLAYIN http://www.ermail.pl/dolacz/V3VeYGIN http://www.ermail.pl/dolacz/V3VeYGIN http://www.ermail.pl/dolacz/V3VeYGIN http://www.ermail.pl/dolacz/V3VeYGIN http://www.ermail.pl/dolacz/V3VeYGIN﻿","1"
" Yeni bir sosyal ağ olan TSU'yu denediniz mi? Bu yeni sosyal ağın özel bir şeyi var. Gönderileri hem fb'de hem de twitter'da paylaşabilir ve hatta para kazanabilirsiniz. Buradan kayıt olabilirsiniz: https://www.tsu.co/WORLDWIDE_LIFE﻿","1"
" Sarı takım elbiseli adam Jae-suk'a benziyor","0"
"Arkadaşlar, işte FB gibi yeni bir ağ... Kayıt da ücretsiz, tek fark paylaşım, yorum ve gönderileri beğenmeniz karşılığında ücret almanız ve bu yüzden... Paylaşım yapıp ücret almadığınız için FB'de zamanınızı boşa harcamayın!! Günlük gönderilerinizle para kazanmak için buraya kaydolun!! https://www.tsu.co/slema13 Herkese hoş geldiniz! ;)﻿","1"
" 2 milyar izlenme varken dünyada sadece 2 milyon insan var!?!?!?!! BİRDEN FAZLA HESAP!!!1111﻿","0"
" BU NE İŞ, YOUTUBE'DA EN ÇOK İZLENEN VİDEO!﻿","0"
" Aman Tanrım 2/7 Kişi bu videoyu izledi çünkü dünyada 7 milyar insan var ve 2 milyar kişi bunu izledi","0"
"Ne diyor bu?!?!?!?!?!?!?!?$?","0"
" bunun çok fazla görüşü var","0"
" Aman Tanrım 2 milyardan fazla görüntülenme!﻿","0"
" Bana abone olun lütfen lütfen lütfen lütfen lütfen lütfen lütfen lütfen","1"
" http://www.twitch.tv/tareko100 Onu Twitch'te takip edin ve !5800 anahtar kelimesini girin ve Steam pazarında satabileceğiniz csgo için gerçekten güzel ve pahalı bir silah kazanma şansına sahip olun.","1"
" 2.126.492.636 izleyiciyim :D﻿","0"
" https://www.tsu.co/Aseris buradan para kazan!﻿","1"
" Harika!﻿","0"
" Dünya nüfusu 7 milyardan fazla","0"
" 2.126.521.750 görüntüleme!!!!!!!!!!!!!!!!!!!!","0"
" Vay canına 23 dakika önce","0"
" SÜPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿","0"
" BARIŞ & SEVGİ ! !﻿","0"
" Bu müzik videosu dünyada tek izleyen benken nasıl 2 milyar izlenme alabilir?????? lol﻿","0"
"Lütfen arkadaşım kitabımı oku ve tekrar yaz: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿","1"
" bana abone olun :)","1"
" Hala en iyisi. :D﻿","0"
" YouTube'da en çok beğenilen video...﻿","0"
" 2 yıl sonra hala bunu mu izliyorsun?","0"
" Merhaba! Youtube'da yeni sayılırım ve yakında Launchpad Videoları çekmeye başlayacağım! :DI başlamadan önce abone olursam çok sevinirim böylece insanlar beni kolayca fark edebilir! Nefret yorumlarını pek umursamıyorum bu yüzden zahmet etmeyin -_-﻿","1"
" Lol...Bu şakanın nasıl bu kadar beğeni aldığını bilmiyorum ama neyse. xD﻿","0"
" Bu Bok Parçası İçin 2 Milyar Görüntüleme... ~ ŞAKA MI ~ YAPIYORSUN ~ BENİMLE ~","0"
" GANGMAN STY- *DDDDDD--BASI AZALT!!*﻿","0"
" Bu şarkı 7 milyar izlenmeye ulaşacak mı?","0"
" Ben bir RAPÇİ/ŞARKI YAZARIYIM, LÜTFEN videomu izleyin... ayrıca daha fazlası için abone olun, teşekkürler :) ne düşündüğünüzü bana söyleyin.","1"
" Dünya nüfusunun %29.24'ünü oluşturan herkese merhaba, umarım harika bir gün geçiriyorsunuzdur :)﻿","0"
"""Asansörde penisim sıkıştı"" bahanesini başlatan video bu mu?","0"
" Kanalıma abone olabilecek var mı? :D","1"
" tarih öncesi şarkı..olmuştur","0"
" Kendini akıllı mı sanıyorsun? Kafanı yüzüne çarp.","0"
" BEĞENMİYORUM.. Şimdi insan GERÇEK müziği biliyor - örn. Enimen","0"
" Loool güzel şarkı, komik, kimse beni anlamıyor ve biz onu seviyoruz","0"
" Eğer siz de buraya geldiyseniz ve bu şarkının kaç kez izlendiğini görmek istiyorsanız beğenin.","0"
" Senin için dua ediyoruz Küçük Psy ♡﻿","0"
" ''Küçük Psy, sadece 5 ay kaldı.. Kafasındaki tümör :( Seni özleyeceğiz  ;3﻿","0"
" Beni Instagram'dan takip edin. _chris_cz","1"
" bu bok nasıl hala geçerli?","0"
" LOL bu bok asla eskimez","0"
" Ne diyebilirim ki... Bu Şarkı Dünyayı Tamamen Değiştirdi... Çok güzel iş çıkarmışsın PSY... (ve kızların da harika :))) )﻿","0"
"0:02'de kameramanın gözlüklerini görüyorsunuz....﻿","0"
" bu yorum yanlış","0"
" Bu müzikten nefret ediyorum. Lanet olası şarkıcı ve her Koean zincirleme ana ABD'li benim sikimi emiyor.","0"
" 2:05. Hahahahah","0"
" Aralık 2014'e kadar 3 milyar izlenmeye ulaşabilir miyiz?","0"
" Dumb Guy: Dünyada 7 milyon insan varken neden 2 milyar görüntüleme var??? Ayrıca, 1+1'in neye eşit olduğunu biliyorum! 1+1=1! Ben akıllı bir pantolonum","0"
" ""Bu Şarkı Artık Çok Eski, Dinlemenin Bir Anlamı Yok"" Diyen İnsanlar Berbat. Sadece Sus ve Müziğin Tadını Çıkar. Yani, Annen de Yaşlı Ama Sen Hala Onu Dinliyorsun, Değil mi?....﻿","0"
" Komik olan şu ki bu şarkı 2009 yılında yapılmış ama Amerika'ya ulaşması 2 yıl sürmüş.","0"
" neden benimkinden başka yorum göremiyorum?:/﻿","0"
" bu japon tam bir pislik. o ne değersiz bir balık kafası. herhangi birinin bu aptal, bozulmamış adamı nasıl sevdiğini anlamıyorum. bu sikik bir müzik bile değil. bunun böyle bir şey olması bile çok üzücü. insanlar çok kafası güzel.","0"
"Herkesin Gangnam Style'a hayran olduğu zamanları hatırlıyorum 😗﻿","0"
" Bu videoyu kaldır, bu bir mastürbasyon","0"
" Çok zor, üzücü :( O küçük çocuk Aktör HWANG MINOO çok aktif bir şekilde dans ediyor, beyin tümörü nedeniyle acı çekiyor, sadece 6 ayı kaldı. İnanması zor.. Herkes gelecekteki süperstarımız için dua etmeye devam etsin. #StrongLittlePsY #Fighting HERKES ONUN İÇİN DUA ETSİN http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/ ﻿","1"
" Bu neden sürekli güncelleniyor? Yorumlar :""5 dakika önce"" Şarkı: ""2 yıl ve 4 ay önce""﻿","0"
" ÇOK SAYIDA ANI...........﻿","0"
" 279.898 youtube kullanıcısı varken neden 5 milyon yorum var? 5 milyon sahte hesap veya PSY hacklenmiş youtube","0"
" 7.000.000.000 kişiden 2.000.000.000'i bu videoyu sadece 2 yılda izledi ve ben şarkının tamamından sadece 2 kelime çıkarabildim","0"
" Bu video çok güzel, tekrar tekrar!﻿","0"
" Şimdi ilk yoruma doğru yolculuğa çıkıyorum... Aileme onları sevdiğimi söyleyin. 😢﻿","0"
"YouTube'daki BU Video nasıl bu kadar çok izlenme ve beğeni aldı? Neden Gangnam Style? Benim bununla ilgili bir sorunum yok, sadece bunun ardındaki fenomeni anlamıyorum, tıpkı oradaki diğer rastgele müzik videoları gibi.","0"
" Koreli kızla daha çok orospu ve kaltak : Hyuna :'33﻿","0"
" Hey millet! Şuna bir bakın: Kollektivet - Penisime tokat atma! Bence aldıklarından çok daha fazla krediyi hak ediyorlar.","1"
" Hala izlemekten çok keyif aldığım bir müzik videosu!","0"
" Hadi 3 milyar izlenme!!!!!!!!﻿","0"
"Herkese merhaba, yeni bir kanalım ve kitap incelemeleri ve flüt müziği videoları paylaşacağım. Eğer hoşunuza giderse lütfen abone olun. Teşekkürler!﻿","1"
